Estado,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Pernambuco,194,290,165,15,13,10,23,335,345,240,0,0,0,0,0,0,0,0,0,1,1,0,1,200,24,0,0,0,4,268
Ceará,2771,4704,393,134,87,37,125,864,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,695,32,0,0,0,15
